timestamp,symbol,asset_class,source,open,high,low,close,volume
2025-08-07 00:00:00+00:00,QQQ,equity,yfinance,571.6699829101562,573.3200073242188,565.1099853515625,569.239990234375,44463000
2025-08-08 00:00:00+00:00,QQQ,equity,yfinance,570.4500122070312,574.77001953125,570.1500244140625,574.5499877929688,35255500
2025-08-11 00:00:00+00:00,QQQ,equity,yfinance,574.6900024414062,576.7999877929688,571.5700073242188,572.8499755859375,33112900
2025-08-12 00:00:00+00:00,QQQ,equity,yfinance,575.1599731445312,580.3499755859375,572.489990234375,580.0499877929688,42143300
2025-08-13 00:00:00+00:00,QQQ,equity,yfinance,582.760009765625,583.3200073242188,578.9400024414062,580.3400268554688,41209300
2025-08-14 00:00:00+00:00,QQQ,equity,yfinance,578.280029296875,581.8800048828125,577.9099731445312,579.8900146484375,45425000
2025-08-15 00:00:00+00:00,QQQ,equity,yfinance,579.7999877929688,579.8400268554688,575.5700073242188,577.3400268554688,49480200
2025-08-18 00:00:00+00:00,QQQ,equity,yfinance,576.4400024414062,577.77001953125,575.239990234375,577.1099853515625,29831000
2025-08-19 00:00:00+00:00,QQQ,equity,yfinance,576.3900146484375,576.5599975585938,568.25,569.280029296875,53752600
2025-08-20 00:00:00+00:00,QQQ,equity,yfinance,568.3300170898438,568.4500122070312,558.8400268554688,565.9000244140625,76781100
2025-08-21 00:00:00+00:00,QQQ,equity,yfinance,564.3499755859375,566.489990234375,560.97998046875,563.280029296875,46436900
2025-08-22 00:00:00+00:00,QQQ,equity,yfinance,564.6699829101562,573.989990234375,563.27001953125,571.969970703125,51502100
2025-08-25 00:00:00+00:00,QQQ,equity,yfinance,570.4000244140625,573.2899780273438,569.1599731445312,570.3200073242188,34044700
2025-08-26 00:00:00+00:00,QQQ,equity,yfinance,569.8300170898438,572.9199829101562,568.7999877929688,572.6099853515625,34103000
2025-08-27 00:00:00+00:00,QQQ,equity,yfinance,571.5900268554688,574.4099731445312,570.3699951171875,573.489990234375,36927100
2025-08-28 00:00:00+00:00,QQQ,equity,yfinance,574.1099853515625,578.0,572.4600219726562,577.0800170898438,46787900
2025-08-29 00:00:00+00:00,QQQ,equity,yfinance,574.6599731445312,575.030029296875,568.5399780273438,570.4000244140625,56030400
2025-09-02 00:00:00+00:00,QQQ,equity,yfinance,561.3099975585938,565.969970703125,559.5399780273438,565.6199951171875,65876800
2025-09-03 00:00:00+00:00,QQQ,equity,yfinance,569.22998046875,571.7000122070312,566.72998046875,570.0700073242188,54230200
